Xtrue.m,Z.masl,K.cms
1,219.145,7.33E-03
1,219.096389,9.65E-03
1,219.047778,0.011852838
1,218.999167,0.014546665
1,218.950556,0.011131361
1,218.901945,0.015617858
1,218.853334,0.019795462
1,218.804723,0.018867783
1,218.756112,0.014841815
1,218.707501,0.013764586
1,218.65889,7.84E-03
1,218.610279,0.010521424
1,218.561668,0.011672704
1,218.513057,0.011196267
1,218.464446,0.011328376
1,218.415835,0.01116372
1,218.367224,0.011556517
1,218.318613,0.013113779
1,218.270002,8.60E-03
1,218.221391,0.011378725
1,218.17278,0.013288303
1,218.124169,9.43E-03
1,218.075558,3.06E-03
1,218.026947,8.79E-03
1,217.978336,5.29E-03
1,217.929725,7.81E-03
1,217.881114,5.00E-03
1,217.832503,7.53E-03
1,217.783892,0.013160447
1,217.735281,0.013798827
1,217.68667,8.93E-03
1,217.638059,6.17E-03
1,217.589448,3.17E-03
1,217.540837,2.50E-03
1,217.492226,7.71E-03
1,217.443615,8.19E-03
2,219.145,0.028659102
2,219.096389,0.030478727
2,219.047778,0.027465887
2,218.999167,0.021819998
2,218.950556,0.020775761
2,218.901945,0.020427232
2,218.853334,0.019011483
2,218.804723,0.020113907
2,218.756112,0.014693601
2,218.707501,0.010941082
2,218.65889,0.0140079
2,218.610279,0.013474806
2,218.561668,6.53E-03
2,218.513057,6.40E-03
2,218.464446,4.48E-03
2,218.415835,8.99E-03
2,218.367224,0.010240852
2,218.318613,0.011926458
2,218.270002,7.82E-03
2,218.221391,2.01E-03
2,218.17278,5.28E-03
2,218.124169,2.45E-03
2,218.075558,1.63E-03
2,218.026947,3.44E-03
2,217.978336,8.62E-03
2,217.929725,0.012388128
2,217.881114,7.87E-03
2,217.832503,6.52E-03
2,217.783892,6.16E-03
2,217.735281,4.92E-03
2,217.68667,5.97E-03
2,217.638059,8.40E-03
2,217.589448,8.40E-03
2,217.540837,9.60E-03
2,217.492226,7.17E-03
2,217.443615,5.65E-03
3,219.145,0.017616145
3,219.096389,0.021753444
3,219.047778,0.022590115
3,218.999167,0.020001665
3,218.950556,0.021297078
3,218.901945,0.022995926
3,218.853334,0.015736534
3,218.804723,0.016992565
3,218.756112,0.017861952
3,218.707501,0.011637332
3,218.65889,0.010000832
3,218.610279,0.010750249
3,218.561668,0.011816368
3,218.513057,0.010941082
3,218.464446,0.012846947
3,218.415835,0.01246857
3,218.367224,0.014674943
3,218.318613,0.011967914
3,218.270002,6.28E-03
3,218.221391,6.89E-03
3,218.17278,9.46E-03
3,218.124169,3.13E-03
3,218.075558,4.61E-03
3,218.026947,2.96E-03
3,217.978336,8.23E-03
3,217.929725,5.64E-03
3,217.881114,4.27E-03
3,217.832503,6.74E-03
3,217.783892,4.26E-03
3,217.735281,5.37E-03
3,217.68667,6.15E-03
3,217.638059,8.11E-03
3,217.589448,0.012509184
3,217.540837,0.016411622
3,217.492226,0.015496318
3,217.443615,0.015739015
4,219.145,0.015060077
4,219.096389,0.013334443
4,219.047778,0.018490428
4,218.999167,0.021819998
4,218.950556,0.017144284
4,218.901945,0.017240492
4,218.853334,0.019898029
4,218.804723,0.018307354
4,218.756112,0.010802587
4,218.707501,0.01084836
4,218.65889,0.010734646
4,218.610279,0.010240852
4,218.561668,0.010535856
4,218.513057,0.011395607
4,218.464446,0.010667554
4,218.415835,0.010379242
4,218.367224,0.013618155
4,218.318613,0.010908807
4,218.270002,0.015300078
4,218.221391,0.018114715
4,218.17278,0.01271629
4,218.124169,0.012191491
4,218.075558,7.92E-03
4,218.026947,4.51E-03
4,217.978336,4.33E-03
4,217.929725,1.14E-03
4,217.881114,7.12E-03
4,217.832503,4.07E-03
4,217.783892,6.48E-03
4,217.735281,3.52E-03
4,217.68667,4.51E-03
4,217.638059,7.44E-03
4,217.589448,0.011463641
4,217.540837,0.010757198
4,217.492226,9.85E-03
4,217.443615,9.19E-03
5,219.145,0.017144284
5,219.096389,0.021100657
5,219.047778,0.024152953
5,218.999167,0.026303559
5,218.950556,0.029283483
5,218.901945,0.02803153
5,218.853334,0.029349885
5,218.804723,0.030970319
5,218.756112,0.021100657
5,218.707501,0.013021428
5,218.65889,9.89E-03
5,218.610279,0.010186524
5,218.561668,0.011395607
5,218.513057,0.010817802
5,218.464446,0.010591898
5,218.415835,0.010817802
5,218.367224,0.011852838
5,218.318613,0.012348294
5,218.270002,0.011395607
5,218.221391,0.011963612
5,218.17278,0.011395607
5,218.124169,9.34E-03
5,218.075558,5.97E-03
5,218.026947,2.97E-03
5,217.978336,2.31E-03
5,217.929725,5.71E-03
5,217.881114,4.20E-03
5,217.832503,7.70E-03
5,217.783892,7.60E-03
5,217.735281,3.51E-03
5,217.68667,4.48E-03
5,217.638059,5.57E-03
5,217.589448,7.40E-03
5,217.540837,0.016272541
5,217.492226,0.018552269
5,217.443615,0.016411622
6,219.145,0.021217235
6,219.096389,0.019106068
6,219.047778,0.019795462
6,218.999167,0.02064688
6,218.950556,0.018697435
6,218.901945,0.026855382
6,218.853334,0.020659696
6,218.804723,0.021100657
6,218.756112,0.018463075
6,218.707501,8.44E-03
6,218.65889,4.65E-03
6,218.610279,8.75E-03
6,218.561668,9.48E-03
6,218.513057,0.010579393
6,218.464446,0.010108004
6,218.415835,0.011852838
6,218.367224,0.012308717
6,218.318613,0.013242481
6,218.270002,0.011463641
6,218.221391,0.011229005
6,218.17278,0.011532491
6,218.124169,2.78E-03
6,218.075558,1.64E-03
6,218.026947,0.011816368
6,217.978336,1.59E-03
6,217.929725,5.65E-03
6,217.881114,6.31E-03
6,217.832503,0.011602174
6,217.783892,6.81E-03
6,217.735281,4.61E-03
6,217.68667,5.25E-03
6,217.638059,4.37E-03
6,217.589448,6.80E-03
6,217.540837,0.011926458
6,217.492226,0.011963612
6,217.443615,0.012509184
7,219.145,0.0174438
7,219.096389,0.020319151
7,219.047778,0.013764586
7,218.999167,0.020623939
7,218.950556,0.022995926
7,218.901945,0.018307354
7,218.853334,0.01469577
7,218.804723,0.015496318
7,218.756112,0.01833239
7,218.707501,0.019670668
7,218.65889,0.014280528
7,218.610279,6.33E-03
7,218.561668,0.010268234
7,218.513057,0.011679043
7,218.464446,0.011062649
7,218.415835,0.013334443
7,218.367224,0.012006771
7,218.318613,0.011567228
7,218.270002,0.01188822
7,218.221391,9.17E-03
7,218.17278,7.28E-03
7,218.124169,0.013474806
7,218.075558,0.020212208
7,218.026947,0.017391064
7,217.978336,8.85E-03
7,217.929725,0.010941082
7,217.881114,0.010387881
7,217.832503,6.77E-03
7,217.783892,6.82E-03
7,217.735281,0.010667554
7,217.68667,0.010240852
7,217.638059,0.012388128
7,217.589448,9.90E-03
7,217.540837,8.05E-03
7,217.492226,0.013302466
7,217.443615,8.00E-03
8,219.145,0.015803784
8,219.096389,0.016769955
8,219.047778,7.71E-03
8,218.999167,0.01542297
8,218.950556,0.01386397
8,218.901945,0.01488496
8,218.853334,0.02054492
8,218.804723,0.015587294
8,218.756112,0.013990235
8,218.707501,9.15E-03
8,218.65889,0.0114771
8,218.610279,0.01116372
8,218.561668,0.01120632
8,218.513057,0.01662476
8,218.464446,0.019463608
8,218.415835,3.88E-03
8,218.367224,6.38E-03
8,218.318613,8.83E-03
8,218.270002,8.33E-03
8,218.221391,9.28E-03
8,218.17278,9.23E-03
8,218.124169,0.011484738
8,218.075558,0.013835998
8,218.026947,0.013715427
8,217.978336,0.011816368
8,217.929725,6.19E-03
8,217.881114,5.08E-03
8,217.832503,6.30E-03
8,217.783892,6.68E-03
8,217.735281,7.87E-03
8,217.68667,5.82E-03
8,217.638059,5.45E-03
8,217.589448,7.37E-03
8,217.540837,0.010132769
8,217.492226,5.67E-05
8,217.443615,7.73E-04
9,219.145,0.023134455
9,219.096389,0.017377012
9,219.047778,0.01469577
9,218.999167,0.011852838
9,218.950556,0.010638004
9,218.901945,0.012674322
9,218.853334,0.016411622
9,218.804723,0.015664544
9,218.756112,0.010601296
9,218.707501,4.68E-03
9,218.65889,3.36E-03
9,218.610279,0.010550329
9,218.561668,0.010082414
9,218.513057,0.013242481
9,218.464446,9.06E-03
9,218.415835,5.97E-03
9,218.367224,1.73E-03
9,218.318613,3.63E-03
9,218.270002,6.97E-03
9,218.221391,7.95E-03
9,218.17278,8.91E-03
9,218.124169,0.014223406
9,218.075558,0.015803784
9,218.026947,0.021100657
9,217.978336,0.011929308
9,217.929725,0.010757198
9,217.881114,7.74E-03
9,217.832503,5.70E-03
9,217.783892,0.013964799
9,217.735281,0.012609402
9,217.68667,0.011072112
9,217.638059,7.70E-03
9,217.589448,5.59E-03
9,217.540837,2.40E-03
9,217.492226,6.78E-04
9,217.443615,2.17E-03
10,219.145,0.017779257
10,219.096389,0.017221164
10,219.047778,0.018642328
10,218.999167,0.016189242
10,218.950556,0.014383219
10,218.901945,0.01477046
10,218.853334,0.013350489
10,218.804723,0.010435651
10,218.756112,0.01244548
10,218.707501,0.01548516
10,218.65889,0.012796144
10,218.610279,0.011463641
10,218.561668,0.011395607
10,218.513057,7.72E-03
10,218.464446,9.10E-03
10,218.415835,2.69E-03
10,218.367224,5.03E-03
10,218.318613,4.54E-03
10,218.270002,6.73E-03
10,218.221391,8.52E-03
10,218.17278,7.10E-03
10,218.124169,0.023705677
10,218.075558,0.021217235
10,218.026947,0.030970319
10,217.978336,0.015739015
10,217.929725,7.26E-03
10,217.881114,2.30E-03
10,217.832503,0.016009028
10,217.783892,0.016843507
10,217.735281,4.92E-03
10,217.68667,5.92E-03
10,217.638059,2.99E-03
10,217.589448,2.11E-03
10,217.540837,5.24E-03
10,217.492226,0.011963612
10,217.443615,0.011567228
11,219.145,0.022070802
11,219.096389,0.025860738
11,219.047778,0.027430854
11,218.999167,0.020319151
11,218.950556,0.018114715
11,218.901945,0.022458009
11,218.853334,0.019593467
11,218.804723,5.66E-03
11,218.756112,6.03E-03
11,218.707501,8.73E-03
11,218.65889,0.015547853
11,218.610279,0.022859045
11,218.561668,0.012843878
11,218.513057,8.29E-03
11,218.464446,4.06E-03
11,218.415835,0.013380904
11,218.367224,0.010658366
11,218.318613,7.71E-03
11,218.270002,7.75E-03
11,218.221391,8.47E-03
11,218.17278,8.75E-03
11,218.124169,0.013914201
11,218.075558,0.020536468
11,218.026947,0.021882163
11,217.978336,0.011637332
11,217.929725,0.010579393
11,217.881114,0.013618155
11,217.832503,9.37E-03
11,217.783892,5.91E-03
11,217.735281,4.05E-03
11,217.68667,3.61E-03
11,217.638059,5.15E-03
11,217.589448,7.47E-03
11,217.540837,4.67E-03
11,217.492226,8.44E-03
11,217.443615,0.015239363
12,219.145,0.020758484
12,219.096389,0.017779257
12,219.047778,0.017861952
12,218.999167,0.015179129
12,218.950556,0.012406709
12,218.901945,0.011637332
12,218.853334,8.71E-03
12,218.804723,7.62E-03
12,218.756112,8.67E-03
12,218.707501,0.013814099
12,218.65889,0.014118822
12,218.610279,0.012076477
12,218.561668,8.21E-03
12,218.513057,8.87E-03
12,218.464446,7.44E-03
12,218.415835,0.011028844
12,218.367224,8.87E-03
12,218.318613,8.38E-03
12,218.270002,8.51E-03
12,218.221391,8.30E-03
12,218.17278,0.014601976
12,218.124169,0.014223406
12,218.075558,0.015361278
12,218.026947,0.026604932
12,217.978336,0.011361892
12,217.929725,7.80E-03
12,217.881114,4.73E-03
12,217.832503,7.06E-03
12,217.783892,7.39E-03
12,217.735281,4.62E-03
12,217.68667,3.99E-03
12,217.638059,7.70E-03
12,217.589448,9.21E-03
12,217.540837,5.84E-03
12,217.492226,7.81E-03
12,217.443615,0.011744097
13,219.145,0.020634993
13,219.096389,0.019898029
13,219.047778,0.019106068
13,218.999167,0.016068283
13,218.950556,0.011780121
13,218.901945,0.015741319
13,218.853334,0.016482058
13,218.804723,0.010505925
13,218.756112,0.011852838
13,218.707501,0.017221164
13,218.65889,0.014942878
13,218.610279,9.32E-03
13,218.561668,5.43E-03
13,218.513057,9.75E-03
13,218.464446,7.85E-03
13,218.415835,8.85E-03
13,218.367224,4.94E-03
13,218.318613,7.71E-03
13,218.270002,9.67E-03
13,218.221391,9.62E-03
13,218.17278,9.46E-03
13,218.124169,8.65E-03
13,218.075558,7.38E-03
13,218.026947,0.015001248
13,217.978336,0.012428219
13,217.929725,0.01477046
13,217.881114,6.13E-03
13,217.832503,0.010844826
13,217.783892,7.68E-03
13,217.735281,8.53E-03
13,217.68667,8.97E-03
13,217.638059,6.60E-03
13,217.589448,8.57E-03
13,217.540837,5.78E-03
13,217.492226,5.94E-03
13,217.443615,2.09E-03
