Xtrue.m,Z.m,v.cmd,Direction.TN
1,3.100449984,59.78,213
1,3.252849984,21.32,213
1,3.405249984,19.1,213
1,3.710049984,8.41,213
1,3.862449984,14.25,256.6
1,4.014849984,5.82,264.8
1,2.176993766,10.01,244.6
1,2.329393766,6.69,235.7
1,2.481793766,26.45,277.5
1,2.634193766,20.86,275
1,2.786593766,7.81,272.6
1,2.938993766,10.48,267.7
1,3.091393766,8.94,220.8
1,2.111961638,10.18,265.2
1,2.264361638,12.24,265.2
1,2.416761638,15.02,293.5
1,2.569161638,25.53,229
1,2.721561638,34.8,216.5
1,2.873961638,16.28,204.1
1,3.026361638,15.11,258.2
2,3.193092115,13.91,234.8
2,3.345492115,4.75,222.6
2,3.497892115,8.9,222.5
2,3.650292115,9.45,209.1
2,3.802692115,10.86,202.9
2,3.955092115,6.97,215.8
2,4.107492115,9.86,215.8
2,3.140137382,15.98,209.4
2,3.292537382,7.5,233.3
2,3.444937382,7.67,244.3
2,3.597337382,6.53,255.3
2,3.749737382,7.87,227.5
2,3.902137382,12.04,199.8
2,4.054537382,6.56,230.3
2,2.201816678,71.36,213.6
2,2.354216678,5.02,241.2
2,2.506616678,5.3,232.9
2,2.659016678,6.89,212
2,2.811416678,4.77,231.7
2,2.963816678,60.39,207
2,3.116216678,47.68,222.9
2,2.138642611,6.34,257.7
2,2.291042611,5.17,257.7
2,2.443442611,9.51,234.2
2,2.595842611,7.13,249
2,2.748242611,4.42,263.8
2,2.900642611,7.58,205.9
2,3.053042611,25.11,246.2
3,3.233040422,14.69,182.9
3,3.385440422,11.97,194.5
3,3.537840422,6.43,206.1
3,3.690240422,4.32,201.4
3,3.842640422,9.61,199
3,3.995040422,8.68,196.5
3,4.147440422,12.87,191.7
3,3.151285747,16.92,260.5
3,3.456085747,5.73,260.5
3,3.608485747,6.57,239.7
3,3.760885747,10.81,201.2
3,3.913285747,7.84,211.1
3,2.216681165,6.75,239.6
3,2.369081165,13.01,250.2
3,2.521481165,19.56,260.8
3,2.673881165,14.04,188.9
3,2.826281165,19.77,187.8
3,2.978681165,19.48,199.5
3,3.131081165,26.51,202.6
3,2.13678455,7.95,189.2
3,2.28918455,10.08,188.6
3,2.44158455,29.37,188
3,2.59398455,14.79,186.7
3,2.74638455,7.95,195.8
3,2.89878455,9.7,212.2
3,3.05118455,20.34,196.7
4,3.251245517,11.66,277
4,3.403645517,14.89,212.5
4,3.556045517,15.74,253.8
4,3.708445517,11.4,201.5
4,3.860845517,10.68,210.8
4,4.013245517,33.81,203.7
4,4.165645517,13.21,196.7
4,3.193645632,41.22,219.5
4,3.346045632,14.42,243
4,3.498445632,30,220.9
4,3.650845632,10.32,198.8
4,3.803245632,15.43,203.6
4,3.955645632,71.33,204.9
4,4.108045632,90.86,204.9
4,2.257182989,36.51,220.9
4,2.409582989,11.32,235.3
4,2.561982989,8.37,249.6
4,2.714382989,55.6,278.4
4,2.866782989,33,249.8
4,3.019182989,10.24,223.7
4,3.171582989,82.04,197.6
4,2.173570253,15.12,202.6
4,2.325970253,21.36,197.2
4,2.478370253,15.77,209.5
4,2.630770253,15.89,221.9
4,2.783170253,24.37,246.5
4,2.935570253,10.88,248.2
4,3.087970253,13.95,249.9
5,3.227612544,7.65,277.9
5,3.380012544,6.28,245
5,3.532412544,12.4,229.9
5,3.684812544,9.96,214.9
5,3.837212544,12.81,220.4
5,3.989612544,11.63,213.2
5,4.142012544,11.73,210
5,3.157006234,58.32,216.6
5,3.309406234,39.59,219.5
5,3.461806234,21.67,222.4
5,3.614206234,21.46,228.2
5,3.766606234,42.65,239.8
5,3.919006234,6.83,249.8
5,4.071406234,7.18,223.8
5,2.226117773,11.18,230.8
5,2.378517773,10.37,231
5,2.530917773,6.38,241.2
5,2.683317773,12.39,240.2
5,2.835717773,35.84,239.2
5,2.988117773,29.48,237.2
5,3.140517773,36.51,220.2
5,2.159227584,12.63,202
5,2.311627584,13.94,202
5,2.464027584,18.59,202
5,2.616427584,9.01,236
5,2.768827584,14.12,220.6
5,2.921227584,16.34,210.3
5,3.073627584,6.54,231.1
6,2.939759424,11.99,220.8
6,3.092159424,11.98,252.2
6,3.244559424,11.17,220.2
6,3.396959424,11.6,220.1
6,3.549359424,11.49,220.1
6,3.701759424,12.55,220
6,3.854159424,12.36,220
6,2.902598208,57.54,268.2
6,3.054998208,26.06,261.1
6,3.207398208,30.03,254
6,3.359798208,30.08,239.8
6,3.512198208,5.4,240.3
6,3.664598208,48.16,223.8
6,3.816998208,41.37,231.1
6,1.992148416,5.8,208
6,2.144548416,4.71,270.3
6,2.296948416,9.45,259.1
6,2.449348416,30.79,248
6,2.754148416,11.51,248
6,2.906548416,14.95,248
6,1.917825984,18.58,208
6,2.070225984,15.18,208
6,2.222625984,15.26,208
6,2.527425984,58.78,270.1
6,2.832225984,25.12,208
7,3.190305024,11.91,269.8
7,3.342705024,10.55,214.2
7,3.495105024,4.95,212.3
7,3.647505024,12.86,207.2
7,3.799905024,12.51,202
7,3.952305024,9.26,286.6
7,4.104705024,10.55,229.8
7,3.1345632,6.93,208.3
7,3.2869632,28.55,284.6
7,3.4393632,39.61,202
7,3.5917632,46.35,202
7,3.7441632,41.57,204.9
7,3.8965632,46.73,207.6
7,4.0489632,38.74,210.4
7,2.222255347,24.69,184.9
7,2.374655347,18.66,182.2
7,2.527055347,20.95,209.5
7,2.679455347,15.38,226.9
7,2.831855347,35.2,206.6
7,2.984255347,18.72,186.3
7,3.136655347,18.12,218.2
7,2.149790976,19.24,180
7,2.302190976,18.49,180
7,2.454590976,24.55,180
7,2.606990976,16.05,180
7,2.759390976,15.17,183.3
7,2.911790976,16.12,180
7,3.064190976,19.34,180
8,2.886772992,10.86,217.5
8,3.039172992,32.65,259.3
8,3.191572992,13.82,283.6
8,3.343972992,6.75,259.3
8,3.496372992,15.32,281.9
8,3.648772992,13.24,227.1
8,3.801172992,11.67,260.7
8,2.851469837,7.62,206.7
8,3.003869837,11.72,269.8
8,3.156269837,9.85,240.1
8,3.308669837,6.49,222.4
8,3.461069837,5.34,247
8,3.613469837,8.8,228.3
8,3.765869837,23.78,212.8
8,1.933587802,8.44,206.1
8,2.085987802,5.2,225.9
8,2.238387802,13.09,256.3
